Entity,Code,Year,Existence of national screening program for cervical cancer
Brunei,BRN,2019,Yes
Brunei,BRN,2021,Yes
Bulgaria,BGR,2015,No
Bulgaria,BGR,2017,No
Bulgaria,BGR,2019,Yes
Bulgaria,BGR,2021,Yes
Burkina Faso,BFA,2015,Yes
Burkina Faso,BFA,2017,Yes
Burkina Faso,BFA,2019,Yes
Burkina Faso,BFA,2021,Yes
Burundi,BDI,2015,No
Burundi,BDI,2017,Yes
Burundi,BDI,2019,No
Burundi,BDI,2021,No
Cambodia,KHM,2015,Yes
Cambodia,KHM,2017,No
Cambodia,KHM,2019,Yes
Cambodia,KHM,2021,Yes
Cameroon,CMR,2015,Yes
Cameroon,CMR,2017,No
Cameroon,CMR,2019,No
Cameroon,CMR,2021,No
Canada,CAN,2015,Yes
Canada,CAN,2017,Yes
Canada,CAN,2019,Yes
Canada,CAN,2021,Yes
Cape Verde,CPV,2015,No data received
Cape Verde,CPV,2017,Yes
Cape Verde,CPV,2019,No
Cape Verde,CPV,2021,No
Central African Republic,CAF,2015,Yes
Central African Republic,CAF,2017,Yes
Central African Republic,CAF,2019,No
Central African Republic,CAF,2021,No
Chad,TCD,2015,Yes
Chad,TCD,2017,No
Chad,TCD,2019,No
Chad,TCD,2021,No
Chile,CHL,2015,Yes
Chile,CHL,2017,Yes
Chile,CHL,2019,Yes
Chile,CHL,2021,Yes
China,CHN,2015,Yes
China,CHN,2017,Yes
China,CHN,2019,Yes
China,CHN,2021,Yes
Colombia,COL,2015,Yes
Colombia,COL,2017,Yes
Colombia,COL,2019,Yes
Colombia,COL,2021,Yes
Comoros,COM,2015,No response
Comoros,COM,2017,Don't know
Comoros,COM,2019,Don't know
Comoros,COM,2021,No
Congo,COG,2015,No
Congo,COG,2017,Yes
Congo,COG,2019,No
Congo,COG,2021,No
Cook Islands,COK,2015,No data received
Cook Islands,COK,2017,Yes
Cook Islands,COK,2019,Yes
Cook Islands,COK,2021,Yes
Costa Rica,CRI,2015,Yes
Costa Rica,CRI,2017,Yes
Costa Rica,CRI,2019,Yes
Costa Rica,CRI,2021,Yes
Cote d'Ivoire,CIV,2015,No data received
Cote d'Ivoire,CIV,2017,Yes
Cote d'Ivoire,CIV,2019,Yes
Cote d'Ivoire,CIV,2021,Yes
Croatia,HRV,2015,Yes
Croatia,HRV,2017,Yes
Croatia,HRV,2019,Yes
Croatia,HRV,2021,Yes
Cuba,CUB,2015,Yes
Cuba,CUB,2017,Yes
Cuba,CUB,2019,Yes
Cuba,CUB,2021,Yes
Cyprus,CYP,2015,Yes
Cyprus,CYP,2017,Yes
Cyprus,CYP,2019,Yes
Cyprus,CYP,2021,No
Czechia,CZE,2015,Yes
Czechia,CZE,2017,Yes
Czechia,CZE,2019,Yes
Czechia,CZE,2021,Yes
Democratic Republic of Congo,COD,2015,No data received
Democratic Republic of Congo,COD,2017,Yes
Democratic Republic of Congo,COD,2019,No response
Democratic Republic of Congo,COD,2021,No
Denmark,DNK,2015,Yes
Denmark,DNK,2017,Yes
Denmark,DNK,2019,Yes
Denmark,DNK,2021,Yes
Djibouti,DJI,2015,No data received
Djibouti,DJI,2017,Yes
Djibouti,DJI,2019,Yes
Djibouti,DJI,2021,No
Dominica,DMA,2015,Yes
Dominica,DMA,2017,Yes
Dominica,DMA,2019,Yes
Dominica,DMA,2021,Yes
Dominican Republic,DOM,2015,Yes
Dominican Republic,DOM,2017,Yes
Dominican Republic,DOM,2019,Yes
Dominican Republic,DOM,2021,Yes
East Timor,TLS,2015,Yes
East Timor,TLS,2017,Yes
East Timor,TLS,2019,Yes
East Timor,TLS,2021,No
Ecuador,ECU,2015,Yes
Ecuador,ECU,2017,Yes
Ecuador,ECU,2019,Yes
Ecuador,ECU,2021,Yes
Egypt,EGY,2015,No
Egypt,EGY,2017,No
Egypt,EGY,2019,No
Egypt,EGY,2021,No
El Salvador,SLV,2015,Yes
El Salvador,SLV,2017,Yes
El Salvador,SLV,2019,Yes
El Salvador,SLV,2021,Yes
Equatorial Guinea,GNQ,2015,No data received
Equatorial Guinea,GNQ,2017,Yes
Equatorial Guinea,GNQ,2019,No
Equatorial Guinea,GNQ,2021,No
Eritrea,ERI,2015,Yes
Eritrea,ERI,2017,Yes
Eritrea,ERI,2019,No
Eritrea,ERI,2021,No
Estonia,EST,2015,Yes
Estonia,EST,2017,Yes
Estonia,EST,2019,Yes
Estonia,EST,2021,Yes
Eswatini,SWZ,2015,Yes
Eswatini,SWZ,2017,Yes
Eswatini,SWZ,2019,No
Eswatini,SWZ,2021,Yes
Ethiopia,ETH,2015,Yes
Ethiopia,ETH,2017,Yes
Ethiopia,ETH,2019,Yes
Ethiopia,ETH,2021,Yes
Fiji,FJI,2015,Yes
Fiji,FJI,2017,Yes
Fiji,FJI,2019,Yes
Fiji,FJI,2021,Yes
Finland,FIN,2015,Yes
Finland,FIN,2017,Yes
Finland,FIN,2019,Yes
Finland,FIN,2021,Yes
France,FRA,2015,Yes
France,FRA,2017,Yes
France,FRA,2019,Yes
France,FRA,2021,Yes
Gabon,GAB,2015,No data received
Gabon,GAB,2017,Yes
Gabon,GAB,2019,No
Gabon,GAB,2021,Yes
Gambia,GMB,2015,Yes
Gambia,GMB,2017,No response
Gambia,GMB,2019,No
Gambia,GMB,2021,No
Georgia,GEO,2015,Yes
Georgia,GEO,2017,Yes
Georgia,GEO,2019,Yes
Georgia,GEO,2021,Yes
Germany,DEU,2015,Yes
Germany,DEU,2017,Yes
Germany,DEU,2019,Yes
Germany,DEU,2021,Yes
Ghana,GHA,2015,Yes
Ghana,GHA,2017,Yes
Ghana,GHA,2019,No
Ghana,GHA,2021,No
Greece,GRC,2015,Yes
Greece,GRC,2017,Yes
Greece,GRC,2019,Yes
Greece,GRC,2021,Yes
Grenada,GRD,2015,Yes
Grenada,GRD,2017,No
Grenada,GRD,2019,No
Grenada,GRD,2021,No
Guatemala,GTM,2015,Yes
Guatemala,GTM,2017,Yes
Guatemala,GTM,2019,Yes
Guatemala,GTM,2021,Yes
Guinea,GIN,2015,Yes
Guinea,GIN,2017,Yes
Guinea,GIN,2019,Yes
Guinea,GIN,2021,Yes
Guinea-Bissau,GNB,2015,No data received
Guinea-Bissau,GNB,2017,No
Guinea-Bissau,GNB,2019,No
Guinea-Bissau,GNB,2021,No
Guyana,GUY,2015,Yes
Guyana,GUY,2017,Yes
Guyana,GUY,2019,Yes
Guyana,GUY,2021,Yes
Haiti,HTI,2015,No
Haiti,HTI,2017,Yes
Haiti,HTI,2019,Yes
Haiti,HTI,2021,Yes
Honduras,HND,2015,Yes
Honduras,HND,2017,No
Honduras,HND,2019,No
Honduras,HND,2021,No
Hungary,HUN,2015,Yes
Hungary,HUN,2017,Yes
Hungary,HUN,2019,Yes
Hungary,HUN,2021,Yes
Iceland,ISL,2015,Yes
Iceland,ISL,2017,Yes
Iceland,ISL,2019,Yes
Iceland,ISL,2021,Yes
India,IND,2015,Yes
India,IND,2017,Yes
India,IND,2019,Yes
India,IND,2021,Yes
Indonesia,IDN,2015,Yes
Indonesia,IDN,2017,Yes
Indonesia,IDN,2019,Yes
Indonesia,IDN,2021,Yes
Iran,IRN,2015,Yes
Iran,IRN,2017,Yes
Iran,IRN,2019,Yes
Iran,IRN,2021,Yes
Iraq,IRQ,2015,No
Iraq,IRQ,2017,Yes
Iraq,IRQ,2019,No
Iraq,IRQ,2021,No
Ireland,IRL,2015,Yes
Ireland,IRL,2017,Yes
Ireland,IRL,2019,Yes
Ireland,IRL,2021,Yes
Israel,ISR,2015,Yes
Israel,ISR,2017,Yes
Israel,ISR,2019,Yes
Israel,ISR,2021,Yes
Italy,ITA,2015,Yes
Italy,ITA,2017,Yes
Italy,ITA,2019,Yes
Italy,ITA,2021,Yes
Jamaica,JAM,2015,Yes
Jamaica,JAM,2017,Yes
Jamaica,JAM,2019,No
Jamaica,JAM,2021,Yes
Japan,JPN,2015,Yes
Japan,JPN,2017,Yes
Japan,JPN,2019,Yes
Japan,JPN,2021,Yes
Jordan,JOR,2015,No
Jordan,JOR,2017,No
Jordan,JOR,2019,No
Jordan,JOR,2021,No
Kazakhstan,KAZ,2015,Yes
Kazakhstan,KAZ,2017,Yes
Kazakhstan,KAZ,2019,Yes
Kazakhstan,KAZ,2021,Yes
Kenya,KEN,2015,Yes
Kenya,KEN,2017,Yes
Kenya,KEN,2019,Yes
Kenya,KEN,2021,Yes
Kiribati,KIR,2015,No response
Kiribati,KIR,2017,No
Kiribati,KIR,2019,Yes
Kiribati,KIR,2021,Yes
Kuwait,KWT,2015,No
Kuwait,KWT,2017,No
Kuwait,KWT,2019,No
Kuwait,KWT,2021,No
Kyrgyzstan,KGZ,2015,Yes
Kyrgyzstan,KGZ,2017,Yes
Kyrgyzstan,KGZ,2019,No
Kyrgyzstan,KGZ,2021,No
Laos,LAO,2015,No
Laos,LAO,2017,No
Laos,LAO,2019,Yes
Laos,LAO,2021,No
Latvia,LVA,2015,Yes
Latvia,LVA,2017,Yes
Latvia,LVA,2019,Yes
Latvia,LVA,2021,Yes
Lebanon,LBN,2015,No
Lebanon,LBN,2017,No
Lebanon,LBN,2019,Yes
Lebanon,LBN,2021,Yes
Lesotho,LSO,2015,Yes
Lesotho,LSO,2017,Yes
Lesotho,LSO,2019,No
Lesotho,LSO,2021,No
Liberia,LBR,2015,No data received
Liberia,LBR,2017,No
Liberia,LBR,2019,No
Liberia,LBR,2021,No
Libya,LBY,2015,No
Libya,LBY,2017,No
Libya,LBY,2019,No
Libya,LBY,2021,No
Lithuania,LTU,2015,Yes
Lithuania,LTU,2017,Yes
Lithuania,LTU,2019,Yes
Lithuania,LTU,2021,Yes
Luxembourg,LUX,2015,No data received
Luxembourg,LUX,2017,No
Luxembourg,LUX,2019,No
Luxembourg,LUX,2021,Yes
Madagascar,MDG,2015,Yes
Madagascar,MDG,2017,Yes
Madagascar,MDG,2019,Yes
Madagascar,MDG,2021,Yes
Malawi,MWI,2015,Yes
Malawi,MWI,2017,Yes
Malawi,MWI,2019,Yes
Malawi,MWI,2021,Yes
Malaysia,MYS,2015,Yes
Malaysia,MYS,2017,Yes
Malaysia,MYS,2019,Yes
Malaysia,MYS,2021,Yes
Maldives,MDV,2015,Yes
Maldives,MDV,2017,Yes
Maldives,MDV,2019,Yes
Maldives,MDV,2021,Yes
Mali,MLI,2015,Yes
Mali,MLI,2017,Yes
Mali,MLI,2019,No
Mali,MLI,2021,No
Malta,MLT,2015,Yes
Malta,MLT,2017,Yes
Malta,MLT,2019,Yes
Malta,MLT,2021,Yes
Marshall Islands,MHL,2015,Yes
Marshall Islands,MHL,2017,No
Marshall Islands,MHL,2019,Yes
Marshall Islands,MHL,2021,Yes
Mauritania,MRT,2015,No
Mauritania,MRT,2017,Yes
Mauritania,MRT,2019,No
Mauritania,MRT,2021,No
Mauritius,MUS,2015,No data received
Mauritius,MUS,2017,Yes
Mauritius,MUS,2019,No
Mauritius,MUS,2021,No
Mexico,MEX,2015,Yes
Mexico,MEX,2017,Yes
Mexico,MEX,2019,Yes
Mexico,MEX,2021,Yes
Micronesia (country),FSM,2015,Yes
Micronesia (country),FSM,2017,Yes
Micronesia (country),FSM,2019,Yes
Micronesia (country),FSM,2021,Yes
Moldova,MDA,2015,Yes
Moldova,MDA,2017,Yes
Moldova,MDA,2019,Yes
Moldova,MDA,2021,Yes
Monaco,MCO,2015,Yes
Monaco,MCO,2017,Yes
Monaco,MCO,2019,Yes
Monaco,MCO,2021,Yes
Mongolia,MNG,2015,Yes
Mongolia,MNG,2017,Yes
Mongolia,MNG,2019,Yes
Mongolia,MNG,2021,Yes
Montenegro,MNE,2015,Yes
Montenegro,MNE,2017,Yes
Montenegro,MNE,2019,Yes
Montenegro,MNE,2021,Yes
Morocco,MAR,2015,Yes
Morocco,MAR,2017,Yes
Morocco,MAR,2019,Yes
Morocco,MAR,2021,Yes
Mozambique,MOZ,2015,Yes
Mozambique,MOZ,2017,Yes
Mozambique,MOZ,2019,Yes
Mozambique,MOZ,2021,Yes
Myanmar,MMR,2015,No
Myanmar,MMR,2017,Yes
Myanmar,MMR,2019,Yes
Myanmar,MMR,2021,Yes
Namibia,NAM,2015,No data received
Namibia,NAM,2017,No
Namibia,NAM,2019,No
Namibia,NAM,2021,No
Nauru,NRU,2015,Yes
Nauru,NRU,2017,No
Nauru,NRU,2019,No
Nauru,NRU,2021,No
Nepal,NPL,2015,No
Nepal,NPL,2017,Yes
Nepal,NPL,2019,Yes
Nepal,NPL,2021,Yes
Netherlands,NLD,2015,Yes
Netherlands,NLD,2017,Yes
Netherlands,NLD,2019,Yes
Netherlands,NLD,2021,Yes
New Zealand,NZL,2015,Yes
New Zealand,NZL,2017,Yes
New Zealand,NZL,2019,Yes
New Zealand,NZL,2021,Yes
Nicaragua,NIC,2015,Yes
Nicaragua,NIC,2017,No
Nicaragua,NIC,2019,Yes
Nicaragua,NIC,2021,Yes
Niger,NER,2015,No
Niger,NER,2017,No
Niger,NER,2019,No
Niger,NER,2021,No
Nigeria,NGA,2015,Yes
Nigeria,NGA,2017,Yes
Nigeria,NGA,2019,No
Nigeria,NGA,2021,No
Niue,NIU,2015,Yes
Niue,NIU,2017,No
Niue,NIU,2019,Yes
Niue,NIU,2021,Yes
North Korea,PRK,2015,Yes
North Korea,PRK,2017,Yes
North Korea,PRK,2019,Yes
North Korea,PRK,2021,Yes
North Macedonia,MKD,2015,Yes
North Macedonia,MKD,2017,Yes
North Macedonia,MKD,2019,Yes
North Macedonia,MKD,2021,Yes
Norway,NOR,2015,Yes
Norway,NOR,2017,Yes
Norway,NOR,2019,Yes
Norway,NOR,2021,Yes
Oman,OMN,2015,No
Oman,OMN,2017,No
Oman,OMN,2019,No
Oman,OMN,2021,No
Pakistan,PAK,2015,No
Pakistan,PAK,2017,No
Pakistan,PAK,2019,No
Pakistan,PAK,2021,No
Palau,PLW,2015,Yes
Palau,PLW,2017,Yes
Palau,PLW,2019,Yes
Palau,PLW,2021,Yes
Panama,PAN,2015,Yes
Panama,PAN,2017,Yes
Panama,PAN,2019,Yes
Panama,PAN,2021,Yes
Papua New Guinea,PNG,2015,Yes
Papua New Guinea,PNG,2017,No
Papua New Guinea,PNG,2019,No
Papua New Guinea,PNG,2021,No
Paraguay,PRY,2015,Yes
Paraguay,PRY,2017,Yes
Paraguay,PRY,2019,Yes
Paraguay,PRY,2021,Yes
Peru,PER,2015,Yes
Peru,PER,2017,Yes
Peru,PER,2019,Yes
Peru,PER,2021,Yes
Philippines,PHL,2015,Yes
Philippines,PHL,2017,Yes
Philippines,PHL,2019,Yes
Philippines,PHL,2021,Yes
Poland,POL,2015,Yes
Poland,POL,2017,Yes
Poland,POL,2019,Yes
Poland,POL,2021,Yes
Portugal,PRT,2015,Yes
Portugal,PRT,2017,Yes
Portugal,PRT,2019,Yes
Portugal,PRT,2021,Yes
Qatar,QAT,2015,Yes
Qatar,QAT,2017,Yes
Qatar,QAT,2019,Yes
Qatar,QAT,2021,Yes
Romania,ROU,2015,Yes
Romania,ROU,2017,Yes
Romania,ROU,2019,Yes
Romania,ROU,2021,Yes
Russia,RUS,2015,Yes
Russia,RUS,2017,Yes
Russia,RUS,2019,Yes
Russia,RUS,2021,Yes
Rwanda,RWA,2015,Yes
Rwanda,RWA,2017,Yes
Rwanda,RWA,2019,No
Rwanda,RWA,2021,Yes
Saint Kitts and Nevis,KNA,2015,Yes
Saint Kitts and Nevis,KNA,2017,Yes
Saint Kitts and Nevis,KNA,2019,No
Saint Kitts and Nevis,KNA,2021,Yes
Saint Lucia,LCA,2015,Yes
Saint Lucia,LCA,2017,Yes
Saint Lucia,LCA,2019,No
Saint Lucia,LCA,2021,Yes
Saint Vincent and the Grenadines,VCT,2015,Yes
Saint Vincent and the Grenadines,VCT,2017,No
Saint Vincent and the Grenadines,VCT,2019,No
Saint Vincent and the Grenadines,VCT,2021,Yes
Samoa,WSM,2015,No data received
Samoa,WSM,2017,No
Samoa,WSM,2019,No
Samoa,WSM,2021,No
San Marino,SMR,2015,Yes
San Marino,SMR,2017,Yes
San Marino,SMR,2019,Yes
San Marino,SMR,2021,Yes
Sao Tome and Principe,STP,2015,Yes
Sao Tome and Principe,STP,2017,Yes
Sao Tome and Principe,STP,2019,No
Sao Tome and Principe,STP,2021,No
Saudi Arabia,SAU,2015,No
Saudi Arabia,SAU,2017,No
Saudi Arabia,SAU,2019,No
Saudi Arabia,SAU,2021,No
Senegal,SEN,2015,No
Senegal,SEN,2017,No
Senegal,SEN,2019,Yes
Senegal,SEN,2021,No
Serbia,SRB,2015,Yes
Serbia,SRB,2017,Yes
Serbia,SRB,2019,Yes
Serbia,SRB,2021,Yes
Seychelles,SYC,2015,Yes
Seychelles,SYC,2017,Yes
Seychelles,SYC,2019,No
Seychelles,SYC,2021,No
Sierra Leone,SLE,2015,No
Sierra Leone,SLE,2017,No
Sierra Leone,SLE,2019,No
Sierra Leone,SLE,2021,No
Singapore,SGP,2015,Yes
Singapore,SGP,2017,Yes
Singapore,SGP,2019,Yes
Singapore,SGP,2021,Yes
Slovakia,SVK,2015,Yes
Slovakia,SVK,2017,Yes
Slovakia,SVK,2019,Yes
Slovakia,SVK,2021,Yes
Slovenia,SVN,2015,Yes
Slovenia,SVN,2017,Yes
Slovenia,SVN,2019,Yes
Slovenia,SVN,2021,Yes
Solomon Islands,SLB,2015,No
Solomon Islands,SLB,2017,No
Solomon Islands,SLB,2019,Yes
Solomon Islands,SLB,2021,No
Somalia,SOM,2015,No
Somalia,SOM,2017,No
Somalia,SOM,2019,Yes
Somalia,SOM,2021,No
South Africa,ZAF,2015,Yes
South Africa,ZAF,2017,Yes
South Africa,ZAF,2019,Yes
South Africa,ZAF,2021,Yes
South Korea,KOR,2015,Yes
South Korea,KOR,2017,Yes
South Korea,KOR,2019,Yes
South Korea,KOR,2021,Yes
South Sudan,SSD,2015,No data received
South Sudan,SSD,2017,No
South Sudan,SSD,2019,No
South Sudan,SSD,2021,No
Spain,ESP,2015,Yes
Spain,ESP,2017,Yes
Spain,ESP,2019,Yes
Spain,ESP,2021,Yes
Sri Lanka,LKA,2015,Yes
Sri Lanka,LKA,2017,Yes
Sri Lanka,LKA,2019,Yes
Sri Lanka,LKA,2021,Yes
Sudan,SDN,2015,No
Sudan,SDN,2017,No
Sudan,SDN,2019,No
Sudan,SDN,2021,No
Suriname,SUR,2015,No
Suriname,SUR,2017,Yes
Suriname,SUR,2019,No
Suriname,SUR,2021,No
Sweden,SWE,2015,Yes
Sweden,SWE,2017,Yes
Sweden,SWE,2019,Yes
Sweden,SWE,2021,Yes
Switzerland,CHE,2015,Yes
Switzerland,CHE,2017,Yes
Switzerland,CHE,2019,Yes
Switzerland,CHE,2021,Yes
Syria,SYR,2015,No
Syria,SYR,2017,Yes
Syria,SYR,2019,Yes
Syria,SYR,2021,Yes
Tajikistan,TJK,2015,Yes
Tajikistan,TJK,2017,Yes
Tajikistan,TJK,2019,No
Tajikistan,TJK,2021,No
Tanzania,TZA,2015,No data received
Tanzania,TZA,2017,No
Tanzania,TZA,2019,No
Tanzania,TZA,2021,No
Thailand,THA,2015,No
Thailand,THA,2017,Yes
Thailand,THA,2019,Yes
Thailand,THA,2021,Yes
Togo,TGO,2015,Yes
Togo,TGO,2017,No
Togo,TGO,2019,No
Togo,TGO,2021,No
Tonga,TON,2015,No
Tonga,TON,2017,No
Tonga,TON,2019,Yes
Tonga,TON,2021,Yes
Trinidad and Tobago,TTO,2015,Yes
Trinidad and Tobago,TTO,2017,Yes
Trinidad and Tobago,TTO,2019,Yes
Trinidad and Tobago,TTO,2021,Yes
Tunisia,TUN,2015,No response
Tunisia,TUN,2017,Yes
Tunisia,TUN,2019,Yes
Tunisia,TUN,2021,Yes
Turkey,TUR,2015,Yes
Turkey,TUR,2017,Yes
Turkey,TUR,2019,Yes
Turkey,TUR,2021,Yes
Turkmenistan,TKM,2015,Yes
Turkmenistan,TKM,2017,Yes
Turkmenistan,TKM,2019,Yes
Turkmenistan,TKM,2021,Yes
Tuvalu,TUV,2015,Yes
Tuvalu,TUV,2017,Yes
Tuvalu,TUV,2019,Yes
Tuvalu,TUV,2021,Yes
Uganda,UGA,2015,Yes
Uganda,UGA,2017,Yes
Uganda,UGA,2019,No
Uganda,UGA,2021,No
Ukraine,UKR,2015,Yes
Ukraine,UKR,2017,Yes
Ukraine,UKR,2019,Yes
Ukraine,UKR,2021,Yes
United Arab Emirates,ARE,2015,Yes
United Arab Emirates,ARE,2017,Yes
United Arab Emirates,ARE,2019,Yes
United Arab Emirates,ARE,2021,Yes
United Kingdom,GBR,2015,Yes
United Kingdom,GBR,2017,Yes
United Kingdom,GBR,2019,Yes
United Kingdom,GBR,2021,Yes
United States,USA,2015,Yes
United States,USA,2017,Yes
United States,USA,2019,Yes
United States,USA,2021,Yes
Uruguay,URY,2015,Yes
Uruguay,URY,2017,Yes
Uruguay,URY,2019,Yes
Uruguay,URY,2021,Yes
Uzbekistan,UZB,2015,Yes
Uzbekistan,UZB,2017,Yes
Uzbekistan,UZB,2019,No
Uzbekistan,UZB,2021,No
Vanuatu,VUT,2015,Yes
Vanuatu,VUT,2017,Yes
Vanuatu,VUT,2019,Yes
Vanuatu,VUT,2021,Yes
Venezuela,VEN,2015,No data received
Venezuela,VEN,2017,Yes
Venezuela,VEN,2019,Yes
Venezuela,VEN,2021,Yes
Vietnam,VNM,2015,Yes
Vietnam,VNM,2017,Yes
Vietnam,VNM,2019,Yes
Vietnam,VNM,2021,Yes
Yemen,YEM,2015,No
Yemen,YEM,2017,No
Yemen,YEM,2019,No
Yemen,YEM,2021,No
Zambia,ZMB,2015,Yes
Zambia,ZMB,2017,Yes
Zambia,ZMB,2019,No
Zambia,ZMB,2021,Yes
Zimbabwe,ZWE,2015,Yes
Zimbabwe,ZWE,2017,Yes
Zimbabwe,ZWE,2019,No
Zimbabwe,ZWE,2021,Yes
